time_s,model,fit_status,boundary_residual_rmse,volume_full_m3,volume_relative_error,volume_proxy_m3,radial_distance_rmse_m,radial_distance_mean_m,chamfer_distance_m,normalized_chamfer_distance,hausdorff_distance_m,case_id,case_index,power_W,scan_speed_mm_s,particle_rate,powder_feed_g_min,mean_boundary_residual_rmse,mean_volume_relative_error,std_volume_relative_error,mean_radial_distance_rmse_m,mean_chamfer_distance_m,mean_normalized_chamfer_distance,mean_hausdorff_distance_m,successful_fits
0.05,ellipsoid,ok,0.2741202581323933,1.0982363012621885e-09,0.5400572777487505,7.131139322737307e-10,9.526628021619387e-05,6.288531413466041e-05,0.00011111480922899408,0.08326699531563359,0.00034877116161346274,A1-750-8-60000,1.0,750.0,8.0,60000.0,12.0,,,,,,,,
0.05,superellipsoid,ok,0.17830455758688532,1.2226221194207999e-09,0.7144835685968524,7.131139322737307e-10,0.00010647844288497081,7.004058279953285e-05,0.00019401693869193097,0.14539202863518103,0.0005998355687963897,A1-750-8-60000,1.0,750.0,8.0,60000.0,12.0,,,,,,,,
0.1,ellipsoid,ok,0.2020712649062043,2.2359849034895316e-09,0.5281575350846608,1.4631900521732903e-09,8.570263507524821e-05,6.159256233845328e-05,0.00013433790813483125,0.07980490334024498,0.0004977036318057715,A1-750-8-60000,1.0,750.0,8.0,60000.0,12.0,,,,,,,,
0.1,superellipsoid,ok,0.13006518031568665,2.6392544556174002e-09,0.8037673586539835,1.4631900521732903e-09,9.721295407448721e-05,7.363233883150282e-05,0.0002600126222074437,0.15446334151401403,0.0009374652602664587,A1-750-8-60000,1.0,750.0,8.0,60000.0,12.0,,,,,,,,
0.15,ellipsoid,ok,0.24169399843544817,2.7523343150468896e-09,0.42581848041464015,1.930353935548996e-09,0.00012357161186158757,8.701913160057353e-05,0.00014276427209139786,0.07475312836952255,0.0005339652821912782,A1-750-8-60000,1.0,750.0,8.0,60000.0,12.0,,,,,,,,
0.15,superellipsoid,ok,0.15328374043600804,2.9329550155172476e-09,0.5193871763641678,1.930353935548996e-09,0.00013178029453323793,9.225313206417568e-05,0.00024130099966324244,0.12634817058411174,0.0009355858454881322,A1-750-8-60000,1.0,750.0,8.0,60000.0,12.0,,,,,,,,
0.2,ellipsoid,ok,0.24549373968440197,3.379898027184536e-09,0.6298086108660471,2.073800570601064e-09,0.0001485784830894654,9.32033930763994e-05,0.00017697448011269324,0.0871010272083261,0.0006117681805397099,A1-750-8-60000,1.0,750.0,8.0,60000.0,12.0,,,,,,,,
0.2,superellipsoid,ok,0.14985909880493947,3.869815423299529e-09,0.8660499366040358,2.073800570601064e-09,0.00018847931283577686,0.0001006421199753372,0.0003295980178706277,0.16221732028300972,0.0014072476040913637,A1-750-8-60000,1.0,750.0,8.0,60000.0,12.0,,,,,,,,
0.3,ellipsoid,ok,0.25962011896198317,3.3844449403461706e-09,0.5744373988587346,2.1496217904881195e-09,0.00018043022205056167,0.00010000507188768451,0.00018733508619788854,0.08920718390375644,0.0007918595346842845,A1-750-8-60000,1.0,750.0,8.0,60000.0,12.0,,,,,,,,
0.3,superellipsoid,ok,0.15972149636172986,3.5445323629090223e-09,0.6489097657054161,2.1496217904881195e-09,0.00020054107731230087,0.00010976429914424022,0.0003312865919626887,0.1577555199822327,0.0015617767365001941,A1-750-8-60000,1.0,750.0,8.0,60000.0,12.0,,,,,,,,
