input_role,validation_cohort,source_root,case_id,case_index,power_W,scan_speed_mm_s,particle_rate,powder_feed_g_min,time_s,csv_path,row_count,column_schema,sha256,status
model_construction,,raw data,A2-550-8-60000,2,550.0,8.0,60000.0,12.0,0.1,raw data\A2-550-8-60000\A2-550-8-60000-0.1s.csv,3432,"Points:0,Points:1,Points:2,Fraction Of Fluid,Heat Absorption Rate,Heat Flux Spatial Distribution,Melt Region,Pressure,Temperature,Temperature Gradient At Tgrdout,X-velocity,Y-velocity,Z-velocity",c2d2e695c1bd6a03491db84a223df6ce59545485abb96fe9eb36613e8f0ce318,ok
model_construction,,raw data,A2-550-8-60000,2,550.0,8.0,60000.0,12.0,0.15,raw data\A2-550-8-60000\A2-550-8-60000-0.15s.csv,3876,"Points:0,Points:1,Points:2,Fraction Of Fluid,Heat Absorption Rate,Heat Flux Spatial Distribution,Melt Region,Pressure,Temperature,Temperature Gradient At Tgrdout,X-velocity,Y-velocity,Z-velocity",3e486b9ad95ccc2995d289ee7743eb73f1bbd067b241eda3c4ea8739432b5ec2,ok
model_construction,,raw data,A2-550-8-60000,2,550.0,8.0,60000.0,12.0,0.2,raw data\A2-550-8-60000\A2-550-8-60000-0.2s.csv,3864,"Points:0,Points:1,Points:2,Fraction Of Fluid,Heat Absorption Rate,Heat Flux Spatial Distribution,Melt Region,Pressure,Temperature,Temperature Gradient At Tgrdout,X-velocity,Y-velocity,Z-velocity",ee446e2b03bcda206e9e6647eb2fb2cf8eddc285ba1081e3362a2eacaaf946d3,ok
model_construction,,raw data,A2-550-8-60000,2,550.0,8.0,60000.0,12.0,0.3,raw data\A2-550-8-60000\A2-550-8-60000-0.3s.csv,3840,"Points:0,Points:1,Points:2,Fraction Of Fluid,Heat Absorption Rate,Heat Flux Spatial Distribution,Melt Region,Pressure,Temperature,Temperature Gradient At Tgrdout,X-velocity,Y-velocity,Z-velocity",d0d082a67fbfa6281a8f395671cc3d95286b5909249725758ea335ad7fc5abc9,ok
model_construction,,raw data,A2-550-8-60000,2,550.0,8.0,60000.0,12.0,0.4,raw data\A2-550-8-60000\A2-550-8-60000-0.4s.csv,3792,"Points:0,Points:1,Points:2,Fraction Of Fluid,Heat Absorption Rate,Heat Flux Spatial Distribution,Melt Region,Pressure,Temperature,Temperature Gradient At Tgrdout,X-velocity,Y-velocity,Z-velocity",b5f46b3c4373cff5559d6e23fb0723544578b22813855cb2aeae6270eeda7242,ok
model_construction,,raw data,A2-550-8-60000,2,550.0,8.0,60000.0,12.0,0.5,raw data\A2-550-8-60000\A2-550-8-60000-0.5s.csv,3732,"Points:0,Points:1,Points:2,Fraction Of Fluid,Heat Absorption Rate,Heat Flux Spatial Distribution,Melt Region,Pressure,Temperature,Temperature Gradient At Tgrdout,X-velocity,Y-velocity,Z-velocity",8cb31f1973bc40a69d4c78693ddba392b77ffbe9b8551194765369427590fb94,ok
model_construction,,raw data,A2-550-8-60000,2,550.0,8.0,60000.0,12.0,0.6,raw data\A2-550-8-60000\A2-550-8-60000-0.6s.csv,3612,"Points:0,Points:1,Points:2,Fraction Of Fluid,Heat Absorption Rate,Heat Flux Spatial Distribution,Melt Region,Pressure,Temperature,Temperature Gradient At Tgrdout,X-velocity,Y-velocity,Z-velocity",0aa4a80ecfabf892d7c8bf77aac7318b257f59ed4ad2208b263bb29e9b1c43d3,ok
model_construction,,raw data,A2-550-8-60000,2,550.0,8.0,60000.0,12.0,0.7,raw data\A2-550-8-60000\A2-550-8-60000-0.7s.csv,3564,"Points:0,Points:1,Points:2,Fraction Of Fluid,Heat Absorption Rate,Heat Flux Spatial Distribution,Melt Region,Pressure,Temperature,Temperature Gradient At Tgrdout,X-velocity,Y-velocity,Z-velocity",91624844594779d109566a7ab2ad8e64d98eb280048b5752e91035a6c00215f6,ok
model_construction,,raw data,A2-550-8-60000,2,550.0,8.0,60000.0,12.0,0.8,raw data\A2-550-8-60000\A2-550-8-60000-0.8s.csv,3696,"Points:0,Points:1,Points:2,Fraction Of Fluid,Heat Absorption Rate,Heat Flux Spatial Distribution,Melt Region,Pressure,Temperature,Temperature Gradient At Tgrdout,X-velocity,Y-velocity,Z-velocity",28352629c82409bb9afb0769f40992cba4dacdf95a88bed7a80e8485f06f21bb,ok
model_construction,,raw data,A2-550-8-60000,2,550.0,8.0,60000.0,12.0,0.9,raw data\A2-550-8-60000\A2-550-8-60000-0.9s.csv,3708,"Points:0,Points:1,Points:2,Fraction Of Fluid,Heat Absorption Rate,Heat Flux Spatial Distribution,Melt Region,Pressure,Temperature,Temperature Gradient At Tgrdout,X-velocity,Y-velocity,Z-velocity",338b522a8bc7d41328a0ae39460d734b258f6293d5cb91bbc32d957969466007,ok
model_construction,,raw data,A2-550-8-60000,2,550.0,8.0,60000.0,12.0,1.0,raw data\A2-550-8-60000\A2-550-8-60000-1s.csv,3900,"Points:0,Points:1,Points:2,Fraction Of Fluid,Heat Absorption Rate,Heat Flux Spatial Distribution,Melt Region,Pressure,Temperature,Temperature Gradient At Tgrdout,X-velocity,Y-velocity,Z-velocity",6295e77315948a80425b1c021503591a3ee9fd9a883bb0b5437a4214df9cc035,ok
