case_id,symbol,value,unit,definition_or_note
A15-950-8-70000,E_star,110.9348537719798,-,eta P / [rho cp v rb^2 (T_liquidus - T0)]
A15-950-8-70000,Re,18.763446197244864,-,rho v L_ref / mu
A15-950-8-70000,Ma,1370.332563789614,-,uses corrected surface-tension temperature coefficient magnitude |d sigma/dT|
A15-950-8-70000,powder_heating_power_proxy,114.66163333333331,W,capture_efficiency*m_dot*[cp(Tl-Tpowder)+Lf]
A15-950-8-70000,absorbed_laser_power,332.5,W,eta*P
A15-950-8-70000,Ste,0.5312724014336918,-,cp (T_liquidus - T_solidus) / latent_heat_fusion
A15-950-8-70000,Pr,0.2091549478385242,-,mu cp / k
summary,L_ref,0.0020487299259259258,m,mean across conditions
summary_min,L_ref,0.0016179233333333334,m,minimum across conditions
summary_max,L_ref,0.0024298622222222225,m,maximum across conditions
summary,Pe,3.321466816854279,-,mean across conditions
summary_min,Pe,1.9598295512771537,-,minimum across conditions
summary_max,Pe,4.489660675789898,-,maximum across conditions
summary,Fo_final,1.2280833257980472,-,mean across conditions
summary_min,Fo_final,0.8389336005486963,-,minimum across conditions
summary_max,Fo_final,1.8922347339215198,-,maximum across conditions
summary,E_star,89.91561832044678,-,mean across conditions
summary_min,E_star,51.380353325969594,-,minimum across conditions
summary_max,E_star,147.91313836263973,-,maximum across conditions
summary,Re,15.880412350649154,-,mean across conditions
summary_min,Re,9.370228012919009,-,minimum across conditions
summary_max,Re,21.465715835018592,-,maximum across conditions
summary,Ma,1155.391160137073,-,mean across conditions
summary_min,Ma,912.4356966026122,-,minimum across conditions
summary_max,Ma,1370.332563789614,-,maximum across conditions
summary,Ste,0.5312724014336919,-,mean across conditions
summary_min,Ste,0.5312724014336918,-,minimum across conditions
summary_max,Ste,0.5312724014336918,-,maximum across conditions
summary,Pr,0.20915494783852429,-,mean across conditions
summary_min,Pr,0.2091549478385242,-,minimum across conditions
summary_max,Pr,0.2091549478385242,-,maximum across conditions
