case_id,case_index,power_W,scan_speed_mm_s,particle_rate,powder_feed_g_min,time_s,superellipsoid_fit_status,superellipsoid_af_m,superellipsoid_ar_m,superellipsoid_b_m,superellipsoid_c_m,superellipsoid_xic_m,superellipsoid_zc_m,superellipsoid_n,superellipsoid_m,superellipsoid_p,superellipsoid_residual_rmse,superellipsoid_volume_full_m3,superellipsoid_volume_relative_error
A1-750-8-60000,1,750.0,8.0,60000.0,12.0,0.05,ok,0.0012837096056017014,0.00104710771092797,0.0009387321994755231,0.00048701700040575883,-0.00013901878507572942,-0.00016790503562295694,1.0000000000000002,2.309762184263798,1.0000000000000002,0.17830455758688532,1.2226221194207999e-09,0.7144835685968524
A1-750-8-60000,1,750.0,8.0,60000.0,12.0,0.1,ok,0.0013064272350096246,0.0017116054151832263,0.0012051206561437392,0.0006798291812027319,-4.7243774506905294e-05,-0.00017486313639601136,1.0000000000000002,2.0025783467110836,1.0000000000000002,0.13006518031568665,2.6392544556174002e-09,0.8037673586539835
A1-750-8-60000,1,750.0,8.0,60000.0,12.0,0.15,ok,0.0012461069799810376,0.0017860469048439004,0.0010151216579016684,0.0008048486155734073,-6.397572084530812e-05,-0.0001242855416404254,1.0000000000000002,2.469799326531061,1.0000000000000002,0.15328374043600804,2.9329550155172476e-09,0.5193871763641678
A1-750-8-60000,1,750.0,8.0,60000.0,12.0,0.2,ok,0.0014767944954600673,0.0023617926916426678,0.0010442894111853968,0.0007791463294119282,-3.1227515058683106e-05,-0.00010061825247931555,1.0000000000000002,2.739467920159134,1.0000000000000002,0.14985909880493947,3.869815423299529e-09,0.8660499366040358
A1-750-8-60000,1,750.0,8.0,60000.0,12.0,0.3,ok,0.001007907677779494,0.0027392039955820933,0.0009552719284936154,0.0008335017270191216,0.00011614806507802149,3.3518828726565047e-05,1.0000000000000002,2.4886955481964175,1.0000000000000002,0.15972149636172986,3.5445323629090223e-09,0.6489097657054161
A1-750-8-60000,1,750.0,8.0,60000.0,12.0,0.4,ok,0.0011931870928695199,0.0025801622886563835,0.0008994979846289126,0.0007741419243181763,-0.00013811293876988932,0.0001371990611645517,1.0000000000000002,2.8176513306494857,1.0000000000000002,0.15833865919170304,3.29401289473299e-09,0.5349264479743334
A1-750-8-60000,1,750.0,8.0,60000.0,12.0,0.5,not_converged:The maximum number of function evaluations is exceeded.,0.00309662963651164,3.320563775000007e-05,0.0009862860177213542,0.0006938116722903467,-0.0018555499992996833,0.00010204180275739984,1.6806263236794885,2.330872093387563,1.6910314931913224,0.2569613920448091,4.1831149289433205e-09,1.178460076756495
A1-750-8-60000,1,750.0,8.0,60000.0,12.0,0.6,not_converged:The maximum number of function evaluations is exceeded.,0.0027192588833724494,2.583393149999981e-05,0.0010309764645670884,0.0007704083031236937,-0.001706874998909158,0.00012321530377048785,1.7066202548967166,2.230294766517101,1.709227756529206,0.2130492551408689,4.236197799819576e-09,1.1424258200583501
A1-750-8-60000,1,750.0,8.0,60000.0,12.0,0.7,not_converged:The maximum number of function evaluations is exceeded.,0.002730661935163303,0.0053654229353233005,0.0010724595376380157,0.0007166000433560223,-0.001727724999205617,0.00014558722570065028,1.7301619031748394,2.0808695158481427,1.7496968165299456,0.2403574814191527,1.1963725435155339e-08,5.364323429109453
A1-750-8-60000,1,750.0,8.0,60000.0,12.0,0.8,not_converged:The maximum number of function evaluations is exceeded.,0.0028396934549909654,2.6576200000000445e-05,0.0010310757373201615,0.0007582768002181021,-0.0017813249990290187,0.00012387036729903886,1.7120220742902943,2.1056388828541053,1.7365038146991016,0.23948947303943233,4.297499749766943e-09,1.1473755709086506
