case_id,case_index,power_W,scan_speed_mm_s,scan_speed_m_s,particle_rate,powder_feed_g_min,powder_feed_kg_s,time_s,source_file,source_folder,raw_rows,exact_dedup_rows,unique_points,coordinate_multi_value_points,schema,laser_x_m,xi_min_m,xi_max_m,front_length_m,rear_length_m,melt_pool_length_m,half_width_m,full_width_m,z_min_m,z_max_m,height_span_m,volume_half_convex_hull_m3,volume_proxy_m3,convex_hull_status,boundary_point_count,Tmax_K,Tmean_K,Gmax_K_per_m,Gmean_K_per_m,Umax_m_per_s,Umean_m_per_s,FOF_min,FOF_mean,heat_flux_max,heat_flux_nonzero_points,heat_absorption_max,melt_region_min,melt_region_mean,pressure_mean_Pa,pressure_max_Pa,fit_status,ellipsoid_af_m,ellipsoid_ar_m,ellipsoid_b_m,ellipsoid_c_m,ellipsoid_xic_m,ellipsoid_zc_m,ellipsoid_residual_rmse,ellipsoid_volume_full_m3,superellipsoid_fit_status,superellipsoid_af_m,superellipsoid_ar_m,superellipsoid_b_m,superellipsoid_c_m,superellipsoid_xic_m,superellipsoid_zc_m,superellipsoid_n,superellipsoid_m,superellipsoid_p,superellipsoid_residual_rmse,superellipsoid_volume_full_m3,ellipsoid_radial_distance_rmse_m,ellipsoid_radial_distance_mean_m,ellipsoid_chamfer_distance_m,ellipsoid_hausdorff_distance_m,superellipsoid_radial_distance_rmse_m,superellipsoid_radial_distance_mean_m,superellipsoid_chamfer_distance_m,superellipsoid_hausdorff_distance_m,ellipsoid_volume_relative_error,superellipsoid_volume_relative_error,L_ref_m,lf_star,lr_star,w_star,h_star,asymmetry_ratio_lr_lf
A1-750-8-60000,1,750.0,8.0,0.008,60000.0,12.0,0.0002,0.05,A1-750-8-60000-0.05s.csv,A1-750-8-60000,2496,479,463,16,multi_condition_flow3d,0.0004,-0.00075,0.0005844400000000001,0.0005844400000000001,0.00075,0.00133444,0.00066938,0.00133876,-0.0007,0.00021101,0.00091101,3.5655696613686533e-10,7.131139322737307e-10,ok,184,3640.8,2011.4911447084235,10311000.0,2620667.721382289,0.42380360929888267,0.1006964516618498,0.50552,0.9553094600431966,562760000.0,150,148450000.0,0.076203,0.7554406015118791,102621.86825053996,104650.0,ok,0.0007932312744534874,0.0006987835174904147,0.0008068619609889016,0.0004355768712271503,-0.00012056283760807752,-0.00018714988711527214,0.2741202581323933,1.0982363012621885e-09,ok,0.0012837096056017014,0.00104710771092797,0.0009387321994755231,0.00048701700040575883,-0.00013901878507572942,-0.00016790503562295694,1.0000000000000002,2.309762184263798,1.0000000000000002,0.17830455758688532,1.2226221194207999e-09,9.526628021619387e-05,6.288531413466041e-05,0.00011111480922899408,0.00034877116161346274,0.00010647844288497081,7.004058279953285e-05,0.00019401693869193097,0.0005998355687963897,0.5400572777487505,0.7144835685968524,0.002241558888888889,0.26072926430663584,0.3345885774929451,0.5972450720059403,0.40641805330913056,1.2832797207583326
A1-750-8-60000,1,750.0,8.0,0.008,60000.0,12.0,0.0002,0.1,A1-750-8-60000-0.1s.csv,A1-750-8-60000,3960,766,739,27,multi_condition_flow3d,0.0008,-0.0008833290000000001,0.0008,0.0008,0.0008833290000000001,0.0016833290000000001,0.00078368,0.00156736,-0.000875,0.00035,0.001225,7.315950260866451e-10,1.4631900521732903e-09,ok,234,4213.3,1976.0808525033829,21274000.0,2102209.438430311,0.7481672844685205,0.12014321649127219,0.50041,0.9545590324763196,742230000.0,194,132790000.0,0.097844,0.8327047144790257,102875.41948579162,114590.0,ok,0.0008932088958870558,0.0010205722960499647,0.0009603230974446778,0.000580898957015009,-6.246074994798751e-05,-0.00019382062115510948,0.2020712649062043,2.2359849034895316e-09,ok,0.0013064272350096246,0.0017116054151832263,0.0012051206561437392,0.0006798291812027319,-4.7243774506905294e-05,-0.00017486313639601136,1.0000000000000002,2.0025783467110836,1.0000000000000002,0.13006518031568665,2.6392544556174002e-09,8.570263507524821e-05,6.159256233845328e-05,0.00013433790813483125,0.0004977036318057715,9.721295407448721e-05,7.363233883150282e-05,0.0002600126222074437,0.0009374652602664587,0.5281575350846608,0.8037673586539835,0.002241558888888889,0.3568944826591415,0.394069058091021,0.69922767042579,0.5464946765718104,1.10416125
A1-750-8-60000,1,750.0,8.0,0.008,60000.0,12.0,0.0002,0.15,A1-750-8-60000-0.15s.csv,A1-750-8-60000,4884,940,919,21,multi_condition_flow3d,0.0012,-0.0010093099999999998,0.0009005,0.0009005,0.0010093099999999998,0.0019098099999999998,0.00077798,0.00155596,-0.0009,0.00047609,0.00137609,9.65176967774498e-10,1.930353935548996e-09,ok,280,3558.8,1928.7348204570185,12675000.0,1655892.9216539718,0.8927805354962662,0.12131784648862882,0.51285,0.9521142655059849,742220000.0,256,139090000.0,0.12259,0.8680866376496191,103094.40696409141,109020.0,ok,0.0011057884112647366,0.0009695825323182265,0.0009249835308052161,0.0006845620804139184,-0.00022272104513333622,-0.00016667114896085745,0.24169399843544817,2.7523343150468896e-09,ok,0.0012461069799810376,0.0017860469048439004,0.0010151216579016684,0.0008048486155734073,-6.397572084530812e-05,-0.0001242855416404254,1.0000000000000002,2.469799326531061,1.0000000000000002,0.15328374043600804,2.9329550155172476e-09,0.00012357161186158757,8.701913160057353e-05,0.00014276427209139786,0.0005339652821912782,0.00013178029453323793,9.225313206417568e-05,0.00024130099966324244,0.0009355858454881322,0.42581848041464015,0.5193871763641678,0.002241558888888889,0.40172935204319615,0.4502714628658725,0.6941419240478971,0.6138986608030225,1.1208328706274289
A1-750-8-60000,1,750.0,8.0,0.008,60000.0,12.0,0.0002,0.2,A1-750-8-60000-0.2s.csv,A1-750-8-60000,5172,977,960,17,multi_condition_flow3d,0.0016,-0.0010818300000000002,0.0009500000000000001,0.0009500000000000001,0.0010818300000000002,0.00203183,0.00085,0.0017,-0.00089999,0.00050299,0.00140298,1.036900285300532e-09,2.073800570601064e-09,ok,256,3745.9,1912.2600520833332,13722000.0,1589489.1927083333,0.6129727325909367,0.10465251348520403,0.5059,0.9576254583333333,697300000.0,263,137720000.0,0.086515,0.8852733505208333,102916.05520833333,105560.0,ok,0.0011412840280830934,0.001308635628890006,0.0009524236306329844,0.0006916127318242354,-0.000132085309564897,-0.00013168324875431598,0.24549373968440197,3.379898027184536e-09,ok,0.0014767944954600673,0.0023617926916426678,0.0010442894111853968,0.0007791463294119282,-3.1227515058683106e-05,-0.00010061825247931555,1.0000000000000002,2.739467920159134,1.0000000000000002,0.14985909880493947,3.869815423299529e-09,0.0001485784830894654,9.32033930763994e-05,0.00017697448011269324,0.0006117681805397099,0.00018847931283577686,0.0001006421199753372,0.0003295980178706277,0.0014072476040913637,0.6298086108660471,0.8660499366040358,0.002241558888888889,0.4238121981577305,0.48262394771892386,0.7584007756506755,0.6258947766014029,1.1387684210526317
A1-750-8-60000,1,750.0,8.0,0.008,60000.0,12.0,0.0002,0.3,A1-750-8-60000-0.3s.csv,A1-750-8-60000,5328,1034,1012,22,multi_condition_flow3d,0.0024,-0.0011499999999999998,0.0009500000000000003,0.0009500000000000003,0.0011499999999999998,0.0021000000000000003,0.00085151,0.00170302,-0.0008,0.00066445,0.00146445,1.0748108952440597e-09,2.1496217904881195e-09,ok,270,2894.9,1885.724703557312,3950900.0,1214942.1343873518,0.4869237136348979,0.1047586540419753,0.50248,0.9477657065217392,742220000.0,281,128650000.0,0.125,0.9021514130434782,103423.46837944664,106170.0,ok,0.0010238413199621203,0.0016031326830996217,0.0008741953840240308,0.0007036627408594622,-0.00010306207468798679,-1.1416880829205744e-05,0.25962011896198317,3.3844449403461706e-09,ok,0.001007907677779494,0.0027392039955820933,0.0009552719284936154,0.0008335017270191216,0.00011614806507802149,3.3518828726565047e-05,1.0000000000000002,2.4886955481964175,1.0000000000000002,0.15972149636172986,3.5445323629090223e-09,0.00018043022205056167,0.00010000507188768451,0.00018733508619788854,0.0007918595346842845,0.00020054107731230087,0.00010976429914424022,0.0003312865919626887,0.0015617767365001941,0.5744373988587346,0.6489097657054161,0.002241558888888889,0.42381219815773064,0.5130358188225157,0.7597480523227138,0.6533176564127247,1.210526315789473
A1-750-8-60000,1,750.0,8.0,0.008,60000.0,12.0,0.0002,0.4,A1-750-8-60000-0.4s.csv,A1-750-8-60000,5376,1021,1007,14,multi_condition_flow3d,0.0032,-0.0011969000000000003,0.0010745999999999998,0.0010745999999999998,0.0011969000000000003,0.0022715,0.00080383,0.00160766,-0.00068251,0.00079472,0.00147723,1.0730197851109252e-09,2.1460395702218504e-09,ok,298,2672.4,1858.5687189672294,6132900.0,1128888.2542204568,0.7336390652255372,0.12938342699460745,0.50148,0.9519467775571003,719770000.0,334,160990000.0,0.064607,0.9105031996027805,103680.87884806356,107800.0,ok,0.0013333385782443295,0.0014231367252182004,0.0008617684576651385,0.00068315644000423,-0.000451686316436941,8.918340184699209e-05,0.27584836274978847,3.398783335400245e-09,ok,0.0011931870928695199,0.0025801622886563835,0.0008994979846289126,0.0007741419243181763,-0.00013811293876988932,0.0001371990611645517,1.0000000000000002,2.8176513306494857,1.0000000000000002,0.15833865919170304,3.29401289473299e-09,0.00017377751009719312,0.00010079718437459066,0.00019121617835438293,0.0008651532722403154,0.0001590287677541539,0.000100771572531936,0.00031931640626822066,0.001604678134792151,0.5837468155579677,0.5349264479743334,0.002241558888888889,0.4793985138318917,0.5339587578684082,0.7172062299897441,0.6590190457732044,1.1138097896891872
A1-750-8-60000,1,750.0,8.0,0.008,60000.0,12.0,0.0002,0.5,A1-750-8-60000-0.5s.csv,A1-750-8-60000,5328,989,973,16,multi_condition_flow3d,0.004,-0.0011883000000000002,0.0014806999999999997,0.0014806999999999997,0.0011883000000000002,0.002669,0.00078893,0.00157786,-0.00049998,0.00080507,0.0013050499999999999,9.601082373681945e-10,1.920216474736389e-09,ok,270,3013.6,1850.7419321685509,6210200.0,1195694.1870503598,0.5427410284297659,0.10567149514508192,0.50238,0.9430475488180883,719740000.0,341,214320000.0,0.065703,0.9044980308324769,103130.46248715314,109630.0,ok,0.0030768520499293663,0.006671336597218021,0.0009618256164244658,0.000661459946249443,-0.0018555497670199024,0.00010817085091579486,0.289284315865816,1.2989200765807585e-08,not_converged:The maximum number of function evaluations is exceeded.,0.00309662963651164,3.320563775000007e-05,0.0009862860177213542,0.0006938116722903467,-0.0018555499992996833,0.00010204180275739984,1.6806263236794885,2.330872093387563,1.6910314931913224,0.2569613920448091,4.1831149289433205e-09,0.00045616729997182597,0.00025480979052563464,0.0015831213092758157,0.00736335317318403,0.00043994829333802776,0.00024011603660333564,0.00022982358300093603,0.0011682350564458462,5.764446059442734,1.178460076756495,0.002241558888888889,0.6605670755917383,0.5301221421798223,0.7039119105106911,0.5822064307428907,0.8025258323765789
A1-750-8-60000,1,750.0,8.0,0.008,60000.0,12.0,0.0002,0.6,A1-750-8-60000-0.6s.csv,A1-750-8-60000,5148,976,962,12,multi_condition_flow3d,0.0048,-0.0011877999999999997,0.0008885000000000004,0.0008885000000000004,0.0011877999999999997,0.0020763,0.00085,0.0017,-0.00049999,0.00088918,0.00138917,9.886451517150314e-10,1.977290303430063e-09,ok,292,2670.2,1845.1534303534304,7745500.0,1055141.6237006236,0.5117913781258923,0.11151152115023968,0.50363,0.93559987006237,742240000.0,360,137600000.0,0.072749,0.9152873212058212,103655.72245322245,111600.0,ok,0.002632603201143964,0.005190071221894579,0.0010174097272127312,0.0007380588535022899,-0.0017068746462711704,0.0001282920512139978,0.23312751574047996,1.2302708920983657e-08,not_converged:The maximum number of function evaluations is exceeded.,0.0027192588833724494,2.583393149999981e-05,0.0010309764645670884,0.0007704083031236937,-0.001706874998909158,0.00012321530377048785,1.7066202548967166,2.230294766517101,1.709227756529206,0.2130492551408689,4.236197799819576e-09,0.000300545582392128,0.00015934981120569242,0.0012364680383968928,0.005747414277128131,0.000303049929762284,0.00016165999259385756,0.00020309392963556184,0.0011313958397774348,5.222004376212128,1.1424258200583501,0.002241558888888889,0.3963759348033092,0.5298990831281601,0.7584007756506755,0.6197338855944994,1.3368598761958348
A1-750-8-60000,1,750.0,8.0,0.008,60000.0,12.0,0.0002,0.7,A1-750-8-60000-0.7s.csv,A1-750-8-60000,4992,943,927,15,multi_condition_flow3d,0.0056,-0.0011885000000000003,0.0009684000000000003,0.0009684000000000003,0.0011885000000000003,0.0021569000000000007,0.000831,0.001662,-0.00049999,0.00087771,0.0013777,9.39905519291734e-10,1.879811038583468e-09,ok,276,2908.9,1854.138888888889,5302900.0,1098666.6245954693,0.6582166341175221,0.11171306031602747,0.51639,0.9359698112189858,742240000.0,351,170520000.0,0.095084,0.9121083538295577,103727.30852211434,110040.0,ok,0.002678265323160279,3.7106297488386647e-07,0.0010345442467957994,0.0006888288256490202,-0.0017277247230000398,0.00014600822951092615,0.26098864968696667,3.9979076727417965e-09,not_converged:The maximum number of function evaluations is exceeded.,0.002730661935163303,0.0053654229353233005,0.0010724595376380157,0.0007166000433560223,-0.001727724999205617,0.00014558722570065028,1.7301619031748394,2.0808695158481427,1.7496968165299456,0.2403574814191527,1.1963725435155339e-08,0.0003448807142594192,0.0001840533382657732,0.00019675361322760311,0.0010541756792190994,0.00033866869678473807,0.00018272882820164044,0.0012743366366360978,0.005940748211788982,1.1267603980847034,5.364323429109453,0.002241558888888889,0.4320207712588909,0.5302113658004872,0.7414482877243664,0.614616910949374,1.227282114828583
A1-750-8-60000,1,750.0,8.0,0.008,60000.0,12.0,0.0002,0.8,A1-750-8-60000-0.8s.csv,A1-750-8-60000,5196,976,962,14,multi_condition_flow3d,0.0064,-0.0012500000000000002,0.0008752999999999999,0.0008752999999999999,0.0012500000000000002,0.0021253,0.00082773,0.00165546,-0.00049998,0.00089528,0.0013952600000000002,1.0006399923671663e-09,2.0012799847343325e-09,ok,255,2941.6,1859.8274948024948,5581300.0,1111846.1995841996,0.5314217369737148,0.11265648313259449,0.50256,0.9420202910602911,719750000.0,343,149260000.0,0.11591,0.9037391995841996,103492.68503118503,118880.0,ok,0.0027405852553769464,1.9531796557406556e-06,0.001005158146430517,0.0007276266256444601,-0.0017813246956748456,0.0001278058211931828,0.25874375761675855,4.20101580742681e-09,not_converged:The maximum number of function evaluations is exceeded.,0.0028396934549909654,2.6576200000000445e-05,0.0010310757373201615,0.0007582768002181021,-0.0017813249990290187,0.00012387036729903886,1.7120220742902943,2.1056388828541053,1.7365038146991016,0.23948947303943233,4.297499749766943e-09,0.00036365842879515655,0.00017812208573082968,0.0001963197017368509,0.0010473530271429947,0.00036837017714438545,0.00017959601090750116,0.00020485056322933323,0.0010766381520552193,1.0991644544851076,1.1473755709086506,0.002241558888888889,0.3904871758394331,0.5576476291549086,0.7385306753286279,0.6224507448437422,1.4280818005255347
