case_id,time_s,point_count,median_nearest_neighbor_m,convex_full_volume_proxy_m3,case_index,power_W,scan_speed_mm_s,powder_feed_g_min,validation_cohort,source_root,method,alpha_radius_multiplier,alpha_radius_m,retained_tetrahedra,total_tetrahedra,alpha_full_volume_m3,alpha_to_convex_volume_ratio,relative_difference_from_convex,status,manuscript_use,valid_fraction,mean_alpha_to_convex_volume_ratio,mean_relative_difference_from_convex,n_condition_time_steps
A1-750-8-60000,0.4,1007.0,6.341680849743264e-05,2.1460395702218504e-09,1.0,750.0,8.0,12.0,,,alpha_complex_volume_sensitivity,2.5,0.0001585420212435816,2298.0,5964.0,2.970995568622826e-10,0.13844085681587384,0.8615591431841262,ok,sensitivity diagnostic only; not used for superellipsoid model selection,,,,
A1-750-8-60000,0.4,1007.0,6.341680849743264e-05,2.1460395702218504e-09,1.0,750.0,8.0,12.0,,,alpha_complex_volume_sensitivity,4.0,0.00025366723398973054,3401.0,5964.0,9.622626490761548e-10,0.4483899842427786,0.5516100157572215,ok,sensitivity diagnostic only; not used for superellipsoid model selection,,,,
A1-750-8-60000,0.5,973.0,6.388629352216323e-05,1.920216474736389e-09,1.0,750.0,8.0,12.0,,,alpha_complex_volume_sensitivity,1.5,9.582944028324485e-05,1159.0,5820.0,5.116382400531848e-11,0.026644820872262512,0.9733551791277374,ok,sensitivity diagnostic only; not used for superellipsoid model selection,,,,
A1-750-8-60000,0.5,973.0,6.388629352216323e-05,1.920216474736389e-09,1.0,750.0,8.0,12.0,,,alpha_complex_volume_sensitivity,2.5,0.0001597157338054081,2265.0,5820.0,3.3263320770840747e-10,0.1732269314864992,0.8267730685135007,ok,sensitivity diagnostic only; not used for superellipsoid model selection,,,,
A1-750-8-60000,0.5,973.0,6.388629352216323e-05,1.920216474736389e-09,1.0,750.0,8.0,12.0,,,alpha_complex_volume_sensitivity,4.0,0.0002555451740886529,3368.0,5820.0,9.72915447541398e-10,0.5066696699782047,0.49333033002179527,ok,sensitivity diagnostic only; not used for superellipsoid model selection,,,,
A1-750-8-60000,0.6,962.0,6.357960629619695e-05,1.977290303430063e-09,1.0,750.0,8.0,12.0,,,alpha_complex_volume_sensitivity,1.5,9.536940944429542e-05,1118.0,5642.0,3.2502843510022606e-11,0.016438073586685264,0.9835619264133147,ok,sensitivity diagnostic only; not used for superellipsoid model selection,,,,
A1-750-8-60000,0.6,962.0,6.357960629619695e-05,1.977290303430063e-09,1.0,750.0,8.0,12.0,,,alpha_complex_volume_sensitivity,2.5,0.00015894901574049238,2054.0,5642.0,2.433608902406398e-10,0.12307797687495589,0.8769220231250441,ok,sensitivity diagnostic only; not used for superellipsoid model selection,,,,
A1-750-8-60000,0.6,962.0,6.357960629619695e-05,1.977290303430063e-09,1.0,750.0,8.0,12.0,,,alpha_complex_volume_sensitivity,4.0,0.0002543184251847878,3149.0,5642.0,7.822799372893762e-10,0.3956323135415839,0.604367686458416,ok,sensitivity diagnostic only; not used for superellipsoid model selection,,,,
A1-750-8-60000,0.7,927.0,6.330421155025915e-05,1.879811038583468e-09,1.0,750.0,8.0,12.0,,,alpha_complex_volume_sensitivity,1.5,9.495631732538872e-05,1085.0,5418.0,3.6101491411192553e-11,0.019204851269730195,0.9807951487302697,ok,sensitivity diagnostic only; not used for superellipsoid model selection,,,,
A1-750-8-60000,0.7,927.0,6.330421155025915e-05,1.879811038583468e-09,1.0,750.0,8.0,12.0,,,alpha_complex_volume_sensitivity,2.5,0.00015826052887564789,2045.0,5418.0,2.556734442322206e-10,0.13601018346231405,0.8639898165376859,ok,sensitivity diagnostic only; not used for superellipsoid model selection,,,,
