model,state,label,train_rmse,train_relative_rmse,validation_rmse,validation_relative_rmse,all_eigenvalues_stable,case_id,case_index,power_W,scan_speed_mm_s,particle_rate,powder_feed_g_min,coupled_relative_improvement_vs_diagonal
diagonal_attractor,front_length_m,L_f,0.00015700111659491117,0.1643581527524503,0.00018764908402178553,0.18060547066581872,True,A1-750-8-60000,1,750.0,8.0,60000.0,12.0,0.012685287145774745
diagonal_attractor,rear_length_m,L_r,1.123269222011823e-05,0.010491340308490416,5.070927132633858e-05,0.04055119658243787,True,A1-750-8-60000,1,750.0,8.0,60000.0,12.0,-0.847306074374267
diagonal_attractor,full_width_m,W,4.7460349763907625e-05,0.029636745288168884,1.7549695996984913e-05,0.010695338659281994,True,A1-750-8-60000,1,750.0,8.0,60000.0,12.0,0.03446500378678269
diagonal_attractor,height_span_m,H,4.841554146768752e-05,0.03652875868991269,4.428052539796666e-05,0.030783285873758504,True,A1-750-8-60000,1,750.0,8.0,60000.0,12.0,0.26141768117920783
diagonal_attractor,Tmax_K,Tmax,319.13422180625327,0.09796471875575669,361.2565109301418,0.12437963743090245,True,A1-750-8-60000,1,750.0,8.0,60000.0,12.0,0.829289163707938
diagonal_attractor,Gmean_K_per_m,Gmean,52358.61984319468,0.03449287427146083,53283.47308390757,0.04729893662410656,True,A1-750-8-60000,1,750.0,8.0,60000.0,12.0,-1.6564349130900826
diagonal_attractor,Umax_m_per_s,Umax,0.12224836887690585,0.19608416761924674,0.171967485381012,0.2594483805155556,True,A1-750-8-60000,1,750.0,8.0,60000.0,12.0,-0.11202952366069639
diagonal_attractor,front_length_m,L_f,0.00015355215205280716,0.1844790378678001,8.188294352637361e-05,0.10429619605957664,True,A2-550-8-60000,2,550.0,8.0,60000.0,12.0,0.24344988882224008
diagonal_attractor,rear_length_m,L_r,9.29758253966716e-05,0.09267104064078636,7.360356553685119e-05,0.06538470777014406,True,A2-550-8-60000,2,550.0,8.0,60000.0,12.0,-0.07920721301595841
diagonal_attractor,full_width_m,W,2.6093973841532367e-05,0.018528733236167803,5.142873945463273e-05,0.03497982605195936,True,A2-550-8-60000,2,550.0,8.0,60000.0,12.0,0.0467398686001598
diagonal_attractor,height_span_m,H,4.068160535390083e-05,0.03815553908621938,2.578988827548084e-05,0.023076699211339133,True,A2-550-8-60000,2,550.0,8.0,60000.0,12.0,-0.06140040640423351
diagonal_attractor,Tmax_K,Tmax,131.56932768540432,0.04637966829351805,188.22384340766095,0.07226130686344047,True,A2-550-8-60000,2,550.0,8.0,60000.0,12.0,0.17096773647993208
diagonal_attractor,Gmean_K_per_m,Gmean,60158.913915419886,0.0447996804519203,76724.59258011564,0.07306035026003506,True,A2-550-8-60000,2,550.0,8.0,60000.0,12.0,0.3323918832594313
diagonal_attractor,Umax_m_per_s,Umax,0.11835171675565465,0.21786590296899122,0.07914706087102502,0.17070451388399777,True,A2-550-8-60000,2,550.0,8.0,60000.0,12.0,-0.2206735043688337
diagonal_attractor,front_length_m,L_f,8.740868389054633e-05,0.09895484517544523,0.00010834203074044788,0.1099137980526001,True,A3-950-8-60000,3,950.0,8.0,60000.0,12.0,0.14719819934661563
diagonal_attractor,rear_length_m,L_r,5.562783445117591e-05,0.0516565106132878,0.00011104915161763999,0.07755370599737409,True,A3-950-8-60000,3,950.0,8.0,60000.0,12.0,-0.7564354090661736
diagonal_attractor,full_width_m,W,4.4960480813281526e-05,0.02907796635485416,4.221062192060173e-05,0.024577258318803898,True,A3-950-8-60000,3,950.0,8.0,60000.0,12.0,0.1498447054514786
diagonal_attractor,height_span_m,H,8.301553226884702e-05,0.061111581838324686,3.750846435548406e-05,0.022714368807482576,True,A3-950-8-60000,3,950.0,8.0,60000.0,12.0,0.13803291966417086
diagonal_attractor,Tmax_K,Tmax,696.3443225860065,0.20128531842449618,508.37088954805057,0.15953395140527538,True,A3-950-8-60000,3,950.0,8.0,60000.0,12.0,0.4661386759758333
diagonal_attractor,Gmean_K_per_m,Gmean,121703.24066037057,0.05962444372465584,129361.06601874255,0.10794134976102956,True,A3-950-8-60000,3,950.0,8.0,60000.0,12.0,-0.5382896247704803
diagonal_attractor,Umax_m_per_s,Umax,0.1715215217213784,0.2891921058103619,0.0878566978383408,0.14341926831204682,True,A3-950-8-60000,3,950.0,8.0,60000.0,12.0,-0.013666568425836764
diagonal_attractor,front_length_m,L_f,0.00011974338601924818,0.14080591739886744,0.000155599526897443,0.19149139791292163,True,A4-750-6-60000,4,750.0,6.0,60000.0,12.0,0.03189184014800002
diagonal_attractor,rear_length_m,L_r,4.136414025742711e-05,0.0400995173240758,7.051391708311754e-05,0.06371931421107642,True,A4-750-6-60000,4,750.0,6.0,60000.0,12.0,0.3741354665498738
diagonal_attractor,full_width_m,W,5.328618422454604e-05,0.03361126819739663,0.0001491342517318321,0.08531122104422585,True,A4-750-6-60000,4,750.0,6.0,60000.0,12.0,-0.038788750213832525
diagonal_attractor,height_span_m,H,0.00010003725647253587,0.07568287674210247,4.8460958775648596e-05,0.035672052372678426,True,A4-750-6-60000,4,750.0,6.0,60000.0,12.0,-0.005908731302616164
diagonal_attractor,Tmax_K,Tmax,335.9725964641652,0.10762066913118713,197.53629627224186,0.07779571891259936,True,A4-750-6-60000,4,750.0,6.0,60000.0,12.0,-0.34622615418254277
diagonal_attractor,Gmean_K_per_m,Gmean,110060.73245147432,0.07474154594221431,147274.71225576205,0.14675467594092928,True,A4-750-6-60000,4,750.0,6.0,60000.0,12.0,-0.07372615401184049
diagonal_attractor,Umax_m_per_s,Umax,0.07192973621240245,0.13621803071070715,0.0738166837817397,0.13121352161510685,True,A4-750-6-60000,4,750.0,6.0,60000.0,12.0,0.139463019881226
diagonal_attractor,front_length_m,L_f,7.544456919949974e-05,0.08843463438336775,0.0007076007734445473,1.0759806986333034,True,A5-750-10-60000,5,750.0,10.0,60000.0,12.0,0.009189936307939923
diagonal_attractor,rear_length_m,L_r,1.222723403828556e-05,0.010254943964286611,8.982377064045691e-05,0.06317905653225421,True,A5-750-10-60000,5,750.0,10.0,60000.0,12.0,-0.5633540415558006
