case_id,case_index,analysis_role,validation_cohort,source_root,time_points,train_fraction,train_points,validation_points,q_inf_policy,quasi_steady_start_s,q_inf_window_start_s,q_inf_window_end_s,q_inf_points,q_inf_fallback_to_all_training,q_inf_uses_validation_points,time_step_min_s,time_step_max_s,nonuniform_time_spacing,state,label,q_inf_estimate,q0,q_validation_mean
A3-950-8-60000,3,model_construction,,,12,0.7,9,3,training points with t >= quasi_steady_start_s; fallback to all training points if fewer than three,0.2,0.2,0.7,6,False,False,0.04999999999999999,0.10000000000000009,True,Gmean_K_per_m,Gmean,1392033.3538956095,5095809.7,1198438.469642393
A3-950-8-60000,3,model_construction,,,12,0.7,9,3,training points with t >= quasi_steady_start_s; fallback to all training points if fewer than three,0.2,0.2,0.7,6,False,False,0.04999999999999999,0.10000000000000009,True,Umax_m_per_s,Umax,0.655691079923936,0.05144092850678339,0.6125864318815597
A4-750-6-60000,4,model_construction,,,12,0.7,9,3,training points with t >= quasi_steady_start_s; fallback to all training points if fewer than three,0.2,0.2,0.7,6,False,False,0.04999999999999999,0.10000000000000009,True,front_length_m,L_f,0.0008764500000000001,0.00057683,0.0008125666666666665
A4-750-6-60000,4,model_construction,,,12,0.7,9,3,training points with t >= quasi_steady_start_s; fallback to all training points if fewer than three,0.2,0.2,0.7,6,False,False,0.04999999999999999,0.10000000000000009,True,rear_length_m,L_r,0.0011183916666666668,0.00075,0.0011066333333333335
A4-750-6-60000,4,model_construction,,,12,0.7,9,3,training points with t >= quasi_steady_start_s; fallback to all training points if fewer than three,0.2,0.2,0.7,6,False,False,0.04999999999999999,0.10000000000000009,True,full_width_m,W,0.0016388166666666667,0.00135,0.00174812
A4-750-6-60000,4,model_construction,,,12,0.7,9,3,training points with t >= quasi_steady_start_s; fallback to all training points if fewer than three,0.2,0.2,0.7,6,False,False,0.04999999999999999,0.10000000000000009,True,height_span_m,H,0.0013628876666666667,0.00101928,0.001358513333333333
A4-750-6-60000,4,model_construction,,,12,0.7,9,3,training points with t >= quasi_steady_start_s; fallback to all training points if fewer than three,0.2,0.2,0.7,6,False,False,0.04999999999999999,0.10000000000000009,True,Tmax_K,Tmax,2718.016666666667,4039.2,2539.1666666666665
A4-750-6-60000,4,model_construction,,,12,0.7,9,3,training points with t >= quasi_steady_start_s; fallback to all training points if fewer than three,0.2,0.2,0.7,6,False,False,0.04999999999999999,0.10000000000000009,True,Gmean_K_per_m,Gmean,1075963.1409989495,2915686.7864693445,1003543.5757770477
A4-750-6-60000,4,model_construction,,,12,0.7,9,3,training points with t >= quasi_steady_start_s; fallback to all training points if fewer than three,0.2,0.2,0.7,6,False,False,0.04999999999999999,0.10000000000000009,True,Umax_m_per_s,Umax,0.5450916343377371,0.5830188234525537,0.562569183976852
A5-750-10-60000,5,model_construction,,,12,0.7,9,3,training points with t >= quasi_steady_start_s; fallback to all training points if fewer than three,0.2,0.2,0.7,6,False,False,0.04999999999999999,0.10000000000000009,True,front_length_m,L_f,0.0009029333333333335,0.0005851999999999999,0.0004551666666666656
A5-750-10-60000,5,model_construction,,,12,0.7,9,3,training points with t >= quasi_steady_start_s; fallback to all training points if fewer than three,0.2,0.2,0.7,6,False,False,0.04999999999999999,0.10000000000000009,True,rear_length_m,L_r,0.0013167983333333333,0.0007758999999999999,0.0014217333333333337
